AVG Arrivals,AVG Served,AVG Delay,AVG Delay Regular,AVG Delay Service Desk,AVG Queue Length,AVG Queue Length (Non Empty),AVG Queue Length (NE) 1,AVG Queue Length (NE) 2,AVG Queue Length (NE) 3,AVG Queue Length (NE) 4,AVG Queue Length (NE) 5,AVG Queue Length (NE) 6,Queue Open Time 1,Queue Open Time 2,Queue Open Time 3,Queue Open Time 4,Queue Open Time 5,Queue Open Time 6
152.96,139.58,4.405826051020606,3.861612163570261,6.352751340166399,1.2924506029405134,2.0642754724841836,2.036655645866216,2.0394459041778865,1.6322852735412365,0.6727477281028885,0.5090407057108957,2.386271515749182,1.0,0.9823870131285382,0.5900047240921588,0.09726007088035202,0.05647029833656605,1.0,
151.92,140.08,4.58271965660765,4.0946692745947635,6.26480915438189,1.2761261967765707,2.0152018134651364,2.0660865585207175,2.006248798387935,1.6908996340550784,0.7647969244132259,0.4923025601938441,2.253601769223603,1.0,0.9839667298071746,0.5697320310786966,0.1134547203694738,0.04793275335327257,1.0,
156.52,143.4,4.504081235980899,4.047217392639257,5.654862242693793,1.449475284682962,2.128852336782706,2.216179564820453,2.15929621488753,1.755125860054152,0.8514187533236013,0.5234661436952904,2.4232890162096647,1.0,0.9753395157893587,0.542346112975858,0.17405781716040383,0.08487455102949663,1.0,
149.34,138.9,4.119393104251724,3.580793008300913,5.528891562537077,1.1326525124881965,1.877882439534212,1.8790594100040934,1.8194354003533062,1.4930105066911454,0.6061884654950944,0.3199066799099879,2.1939059951240822,1.0,0.9939982330615119,0.5770770781156807,0.07603032026734144,0.03612541494548639,1.0,
159.94,143.36,4.561576938191731,3.9698388731613035,6.205049958553949,1.5497662418076938,2.255563283928778,2.349013582300675,2.2624245256485027,1.9628987001896538,1.0603332636981297,0.7732638391602201,2.4647054094668945,1.0,1.0,0.6040823994297408,0.1155257738418643,0.0773279696008017,1.0,
155.1,142.36,4.268321362738783,3.768064469317062,6.230070881731618,1.264383844090736,1.9825264282178745,1.9817158890473576,1.936876930690492,1.669598400786819,0.6714383411965842,0.4318254359291433,2.3428977537625344,1.0,0.9955554044763528,0.5796683514250085,0.10748849949716996,0.05791286864206792,1.0,
151.06,141.52,4.105819818489182,3.3892530822224725,6.273934213940906,1.071588209575463,1.8282708660065132,1.8407538576825164,1.8587504639427976,1.5506492410030344,0.390160596601199,0.25399817542968584,2.0061990870614013,1.0,0.9798616556375549,0.646262812208737,0.09520110433828075,0.033317263432759224,1.0,
151.92,139.48,4.464714014545089,4.024220735284783,6.396204015140038,1.2980936251131416,2.0927164040953854,2.1170690175551137,2.0856119050762105,1.6288499341926825,0.8793857109945801,0.5902836250509328,2.262720662459978,1.0,0.9416840890572286,0.5812109486135195,0.16687794953527962,0.059441553262873724,1.0,
145.72,136.34,3.919506811615631,3.4485221295626336,5.4692224011282295,1.0422877030626005,1.8219865996134654,1.8419768914881334,1.8026008931590496,1.4558051431479178,0.5746808530611487,0.19086776248806678,2.203203595331082,1.0,0.991922301032248,0.5417054562872429,0.09179194617020293,0.009054094928493316,1.0,
151.16,140.76,4.297050336651987,3.878629024347607,5.738878548957141,1.228926204932658,1.8902422856574805,1.8952926649172535,1.8595281302369733,1.3563468186338101,0.4451866749991032,0.32660037152390503,2.167789610560361,1.0,0.9944985751891486,0.5719892870682215,0.06973553582655283,0.048680677888809865,1.0,
156.3,142.82,4.243945742837742,4.04151144206722,4.882520246206627,1.3176914084738254,2.071090853993672,2.045916618937471,2.0454790958576146,1.680079163486821,0.8355025596799578,0.5393647435134236,2.477047459737454,1.0,0.9765731963389842,0.5829529390794956,0.17532196053287905,0.07808600850935217,1.0,
148.92,139.98,4.0580023052517165,3.5097845679051356,5.762497949609843,1.0942889478218365,1.806599659557117,1.8639359040300087,1.8024172369818359,1.4610955869490865,0.41644511125761624,0.13851256737056844,2.114683563560433,1.0,1.0,0.6141515657491147,0.05136816459086368,0.02012582998479068,1.0,
157.98,142.32,4.671579666317948,4.29357245694911,6.01673842146859,1.3964212301184236,2.226685519709977,2.219855472695706,2.2082883275984564,2.0089401527040276,1.1023309109806696,0.7472347221822493,2.378315290445252,1.0,0.9691363831311895,0.5411988944570504,0.1848445380056295,0.0816972476663092,1.0,
149.62,139.16,4.313168989702373,3.794251377515528,6.110193872052843,1.1298632496314145,1.8853061074666133,1.9007347587577095,1.8484645277227088,1.54267646177084,0.6586156477705183,0.35063681689559945,2.1244545408530957,1.0,1.0,0.5394035401041695,0.08200763529610144,0.02016339895839549,1.0,
151.8,140.98,4.501377647993815,4.061218082484169,6.0931971964792435,1.2617970281309143,1.986677743088412,2.073648609665285,2.061455371030962,1.7338775707091574,0.7252088401574095,0.3315632573687905,2.108693896157875,1.0,0.9836339174859813,0.6011330157366769,0.13360535387537317,0.04400343105579094,1.0,
163.0,144.56,5.019319669363105,4.549404934771907,6.319939265540309,1.6442656242171754,2.4245699670056604,2.514674298898195,2.480446684839288,2.2057544919563266,1.3874154503204155,0.9357716069482247,2.509679436995699,1.0,1.0,0.5471255981700122,0.1670261262170767,0.09047909075804467,1.0,
149.94,139.1,4.385926865902432,3.758143265357631,6.346110795941796,1.2559502382971193,1.9728288655410744,2.014065593221672,1.9369743766439205,1.5598031784433568,0.5363642678034319,0.30917999106076777,2.2229257163310923,1.0,0.9868026228736142,0.5561890404098883,0.06630225974595655,0.023161399239099757,1.0,
