AVG Arrivals,AVG Served,AVG Delay,AVG Delay Regular,AVG Delay Service Desk,AVG Queue Length,Queue Open Time 1,Queue Open Time 2,Queue Open Time 3,Queue Open Time 4,Queue Open Time 5,Queue Open Time 6
153.81,140.96,4.2760437684729915,3.808219651035878,5.748215472788669,0.9452943025559815,1.0,0.9814773984135181,0.5505495013069898,0.13438912233377165,0.07545396665575373,1.0,
154.04,141.58,4.3805448512428145,3.926866014778274,5.8239674939949895,0.9579578021039068,1.0,0.9812141793944897,0.5602873089135346,0.13223107713855717,0.05622557725140591,1.0,
152.75,138.7,4.314342302999596,4.012145377832944,5.4321095016763765,1.0701282852547658,1.0,0.9856390389203196,0.5484479950881443,0.12879218901199813,0.06577475615487433,1.0,
150.35,138.41,4.506454350577388,3.894543623774583,6.391082596274114,0.8993514257787477,1.0,0.9971691166746836,0.5419895121913016,0.0930535349433584,0.04330364701469324,1.0,
153.01,140.81,4.205580255201046,3.7599570565924125,5.856340020478132,0.8760009181740878,1.0,0.9779916215131815,0.5723794607218332,0.11451736394083128,0.05408049309950298,1.0,
161.05,144.91,4.835930115938259,4.629331042006055,5.742852280250821,1.2520804233689629,1.0,0.9803424254973022,0.5963126001485373,0.18284603366993207,0.12250729047516012,1.0,
152.82,140.68,4.345577325207937,4.016962765250775,5.936115396651413,0.9488615693446357,1.0,0.9792800933702159,0.5417718534173432,0.13811671369502837,0.043414157831137244,1.0,
148.37,137.76,4.205092302346709,3.6458813274109367,5.915957421223003,0.7985445272681193,1.0,0.9869421164058029,0.5306991130368358,0.09501814873815455,0.033482746673961,1.0,
147.95,137.51,4.316257055606724,3.6087409117998974,6.556214146581381,0.8065910031924514,1.0,0.9811405862455023,0.549742427009246,0.1025991195510764,0.027591589008555167,1.0,
149.91,138.72,4.1779935607308225,3.6585486101348987,5.8284213301914045,0.87593388210384,1.0,0.9950066612984628,0.5326364829882779,0.10834086412502814,0.03102021581917504,1.0,
144.65,135.12,4.045594380510223,3.4002384743619274,6.060864410100012,0.7117384348821665,1.0,0.9938148496945912,0.5378314594096841,0.047562054693649526,0.013130487324338464,1.0,
