AVG Arrivals,AVG Served,AVG Delay,AVG Delay Regular,AVG Delay Service Desk
905.47,807.47,13.73284294442672,15.409859877603902,10.491086556653173,
919.64,818.71,14.044833045907907,15.927580091899559,9.437820004040535,
923.93,824.49,14.264807015667502,15.788110255583675,11.267800987761248,
899.23,807.39,12.383819844363748,13.738990729829684,10.075399132813558,
932.98,827.49,14.970131209414431,16.893222999758503,10.455307230093974,
925.41,823.56,14.322464038045275,16.51342901876861,10.389776469548972,
869.28,797.68,11.079819567904327,11.750091000818406,10.032579610198551,
879.1,804.46,11.403585966221971,12.63762751429897,9.97288265284215,
882.43,802.98,12.13292808650964,13.726526599743881,9.797980895061912,
882.93,802.26,12.32017515782054,13.532591498899315,10.572283702947125,
931.99,817.66,15.117919431627618,18.15276723931838,10.468049304794686,
904.91,805.03,13.508408874020015,15.293502141853974,9.405838851174263,
949.16,832.69,15.81181327567717,17.64434244690589,10.063682999437258,
919.35,817.32,14.23146345918572,16.39171252960701,10.15821493519936,
910.24,801.92,13.544931811473166,15.493301226456587,9.695074614688048,
904.43,800.66,13.238853293509719,14.557855380467444,9.923019394262798,
876.59,793.69,12.131849490786813,13.744633794336794,11.197455860931694,
889.78,801.13,12.40254845177271,14.042881349236065,10.286888949647572,
901.37,815.9,12.752846275693434,14.433039974153028,9.73342942180329,
859.62,783.47,11.249410894968701,12.27634471340976,10.39670275210674,
895.8,807.87,12.507997204782667,13.627571855564511,10.23481511080963,
891.68,800.49,12.597974615380972,14.121621092879705,10.095714278473578,
922.1,824.22,13.978689404166708,16.675570920057392,9.557445122438438,
921.85,804.32,14.518701934460418,16.704936445337715,9.591113672654252,
897.86,811.16,12.75300360539566,14.710810175451954,9.755708553701135,
881.73,795.6,12.477242581965626,13.281538869592143,11.043964323668524,
922.22,820.57,14.304361198250094,16.44858157527622,10.292908453906078,
871.91,792.36,11.58908832346083,13.159050928435725,9.758668410083837,
937.41,831.27,15.299745014301324,17.474000694716576,10.532939432299544,
899.81,807.24,13.253590578487898,14.772635863878106,10.476614364870294,
886.15,803.37,12.665807740219943,14.50719626678039,10.379463540543343,
927.55,830.28,14.51497608602651,17.20083882305301,10.540780274421323,
926.37,822.6,14.385541133814902,16.74599587914316,10.034073556206863,
893.96,805.05,12.153934665291585,13.024519088475886,10.25910028382229,
853.13,787.02,10.67128999042966,11.359090251021922,9.788363542596478,
888.83,804.51,12.01293448047001,13.294515603139343,10.381513606414266,
852.72,788.59,10.058364305208176,10.154650003453112,10.596395965972807,
894.33,797.12,12.502409808615385,13.845170591611414,9.861081084234023,
866.63,793.76,11.559552785485442,13.089112840051833,9.801672545921411,
898.46,812.81,13.01488165126307,13.861458507801242,10.680316382378772,
897.62,808.87,12.764791826038088,14.416374205486516,9.237993182005903,
899.31,811.71,13.420451671862498,15.737065300837651,10.233069352452198,
883.15,797.27,12.372940319666132,13.250922606978982,9.783822412716747,
903.6,809.01,13.704245150477862,15.735730339503252,9.931975321959987,
888.49,805.78,12.461677866410565,14.36093128245413,9.889089896546263,
944.82,836.05,15.646403272554332,18.990537252293908,10.079589290709709,
900.93,810.64,12.626801393874661,14.671202458689073,10.395889606107742,
905.23,799.82,13.539887282808763,14.910234746236421,11.137643564139358,
955.88,839.61,16.06823528211808,17.852479405303633,11.057119972738384,
905.29,814.17,13.822145042709597,16.372785969993657,10.942323918603716,
936.49,825.43,15.614986049191325,18.316706029060207,11.54478934579783,
898.83,813.96,12.941262339538095,14.831274930685117,10.517482577191602,
919.54,822.64,13.86737055274787,15.899158288667032,9.481046965753977,
897.76,806.7,13.165213907694287,15.39675680849615,NaN,
877.98,798.85,11.900815993506889,12.977550283541627,10.991052781139857,
940.28,824.84,14.926440910579352,16.33467851769716,11.150138821589506,
884.34,802.74,12.122458059673377,12.865848214397559,10.871649901274877,
901.07,813.83,13.396815080799895,14.371773971255745,11.605877836728043,
905.88,815.28,13.4753219480859,15.167351736454194,10.366727813162429,
927.71,813.91,14.705806809011506,16.886788404884154,10.37203164933273,
846.71,784.61,10.571665844450711,11.737724551163367,10.147249860081011,
903.82,810.18,12.944060647878539,14.319297332502845,9.64090461013284,
901.67,802.94,13.48258653202215,15.104583829208421,10.322914168745113,
917.12,808.74,13.914441072860518,16.01472904679551,9.140165097301212,
880.93,794.97,11.793975244221073,13.108390420071906,10.911786798453956,
895.87,810.63,13.032210862325137,15.108194367780412,9.892360539560025,
941.88,826.62,15.615224017187382,19.175747055424043,10.838824024989961,
923.66,823.3,14.088678961153624,15.614965165697399,10.900974341949441,
886.2,799.48,12.659028454693507,14.247100219788871,10.33290781012578,
941.25,829.22,15.46898013103226,18.036022860248202,10.770192040255171,
898.42,809.87,13.502193448875696,14.473584215853732,11.145752306879697,
892.85,802.43,12.685890042807198,14.077095328513234,9.586246868052335,
903.24,807.57,13.68551063135583,15.431000608869452,10.541641748942098,
867.66,788.74,11.298584217153925,11.893157954280268,10.510744464870964,
930.92,829.58,14.441118778050093,16.53652687056374,10.083026806267574,
912.9,819.4,13.746080600667547,15.188897522088446,9.65596918470044,
911.15,816.45,13.405157900785682,14.927887442147528,9.963860345169039,
919.62,823.81,14.04821730707657,15.936038918784256,10.779463616337313,
896.67,804.03,12.294777995513378,13.361619633818753,10.546483931943857,
919.22,820.17,14.02442613863494,16.19569632104505,10.311507020126804,
907.63,803.5,14.00630674350609,16.148234385650895,9.691519805485648,
934.75,820.15,15.14316122904094,17.422005281584976,10.452907058263365,
904.26,818.23,13.860685611996065,16.00550158020415,11.293626413581006,
906.66,811.39,12.969537079512204,15.110161264508035,9.13613649983415,
891.3,804.08,12.260049157964668,13.341619853206602,10.384714496461022,
905.92,807.44,13.217813417638858,15.683286570253957,9.025592482346209,
930.91,823.4,14.462199061809361,17.328905621580194,9.685738051011134,
938.56,820.99,14.902534524317625,17.370392309163233,9.359100824882887,
915.93,818.67,14.274189963392239,16.017456942681445,10.552085862022288,
866.33,794.17,11.815241609520507,12.773025561284124,11.3967289439158,
905.75,816.91,13.630370745395492,16.53064276927677,10.19786011800445,
913.57,818.78,13.914796381920688,16.06485686217276,10.207783973437731,
913.21,820.7,13.73017671135283,15.70663041468944,10.332439311162227,
909.29,812.86,13.53007768618191,15.478223378325515,10.660418919510294,
928.59,829.11,14.19204529135775,16.740668436623903,9.571815358717705,
942.65,832.44,15.690112226543345,18.87826876415461,10.492219947733002,
905.42,812.68,13.029577194207597,13.680510047302864,10.10219508305733,
916.67,823.87,14.146683572185168,16.445372605636905,10.129866666379364,
909.03,815.54,13.133460349115765,14.738181276577192,10.427365282129665,
893.92,807.71,12.553567302477393,14.134844433807425,9.005550389169633,
899.3,811.59,12.798872341974977,14.235407312525238,10.114137052089538,
883.87,787.96,12.661208260332154,13.62900894429549,11.49790081954274,
917.99,817.1,14.164788051570754,15.629160446528074,10.298643124637401,
919.53,816.42,13.857342172294317,15.974018745860208,8.733234552487353,
919.52,823.74,13.632466605246673,15.939994890280968,9.605190813067862,
909.86,816.22,13.336958594025514,13.966667354442272,10.267918658324481,
931.26,829.92,14.99514407173363,17.345757911017973,9.495540753413872,
903.76,813.95,13.45867617564141,15.813648284742866,10.349505378802528,
903.4,812.79,13.099406648101667,15.263066167439204,10.277023367017655,
893.62,808.93,12.874940051535992,15.634909076400847,9.38102752251255,
911.26,816.53,13.573892250412218,15.057344736008025,9.763907361969768,
868.41,793.25,11.437722107810615,12.170949696822577,10.516725773196713,
929.69,823.11,15.008042455047862,18.053088927588078,9.266512896201402,
894.12,804.7,12.365976177448994,14.073736689380997,10.422306512716498,
909.12,816.65,13.653282291045441,15.549604153543122,9.996887025068897,
912.65,811.12,14.035966690352096,15.850813144812145,10.624522839274231,
947.49,828.47,15.172985613556316,16.864731250877817,10.967685233742792,
928.63,824.13,14.313594219791511,16.363183250804124,9.952073265561062,
898.78,806.96,13.151067817891919,14.816503091779252,10.647856641274736,
895.04,804.69,12.94047637103969,14.969574952712039,10.503349755940373,
902.34,812.65,13.30007211361805,15.518663193377959,10.13800107355428,
875.84,794.62,11.71926152493846,12.408393431586061,10.529176089982707,
932.8,820.4,14.769948966200191,17.990607999687196,10.439717691690973,
905.57,809.78,13.935886295937477,15.67348269812522,10.623807329444423,
910.45,802.4,13.545198834825918,15.1820018087651,10.060705712434553,
859.92,785.7,10.48036426926446,11.359227940423027,9.100034141486327,
922.06,815.98,14.239656067841835,16.105582110333433,9.521370696549784,
879.3,799.02,12.224972213043237,13.185887214360676,11.825663688910833,
893.87,804.46,12.733127595422387,14.536756587831501,9.571080606061646,
928.44,824.04,14.4544452742605,16.85777034680131,9.283639693998861,
888.26,800.34,12.481053596992556,13.828329921440629,10.011149827968834,
889.6,805.45,12.800300338430429,14.856839823646089,10.164329512259544,
859.16,787.93,10.577931401646365,11.344161545765475,10.37207346287384,
945.95,823.29,15.048398462396081,16.887954688763816,9.722389135858856,
886.45,803.0,12.273248500268625,12.826217112921103,10.717638460401426,
882.83,798.26,12.32454306096766,13.596255121264312,10.483688087510147,
940.78,834.18,15.165484262075177,17.78090344885905,9.963864282065062,
912.25,814.77,13.698133007472368,15.877404495550186,10.262119142073367,
901.58,804.96,13.138266375750332,14.478862041933617,9.42710342728043,
913.21,820.95,13.905999727927554,16.065520168059372,10.086557470140669,
914.05,816.81,14.176583100558618,15.976583848331673,10.37283512417684,
912.09,813.79,14.099182512774915,16.67294429115567,10.148262675092417,
909.9,808.2,13.6959979544677,16.009344234731522,10.414780885037437,
880.8,801.18,12.029824160135801,13.117885833280836,10.897448772807815,
931.86,825.21,14.91039667934246,16.91637765334017,10.98542350983039,
930.23,825.34,14.503265804048489,16.901044545885583,10.503816234199338,
897.32,799.89,13.049071246545592,15.069969887331572,9.492959288609777,
931.13,828.91,15.013487325490184,17.796437056249374,9.762047624919905,
881.25,801.83,12.005693697613951,12.7445880865832,10.6188725573234,
898.6,802.51,13.057905439524061,15.228467502838287,9.840132558072987,
916.74,817.24,13.789273222737785,15.093203349135235,10.554140554003009,
911.06,815.76,13.624222069098227,15.274766154880993,10.226776373375248,
914.74,816.37,14.232444217947084,16.067688222959426,10.462939319813051,
860.32,788.79,10.74916519939244,11.00157604684323,10.175892550619166,
935.64,831.04,15.11073603904159,17.538232332165403,10.223420970543236,
902.5,812.26,12.526956161450332,13.075174823491936,10.955563254912812,
906.28,814.94,13.419549372860468,15.40115268367868,10.802213637692043,
937.38,822.41,15.157769634160768,17.111787168586112,9.996917633977331,
913.97,815.03,14.073608530891713,15.858627009295542,10.421678185889023,
907.88,817.55,13.49089827869396,15.100906594589274,10.487425359450707,
925.34,822.79,14.479724249937474,16.59718536265158,10.173543756729707,
930.82,818.57,14.777664788964925,17.341563920743155,11.098810698220102,
897.4,811.19,12.720204048442122,13.96380738038704,10.823331817107352,
931.8,827.79,14.552874757736022,16.305684181832007,10.404792752707383,
926.72,829.02,14.461330243064957,16.012795167738517,10.406907190444592,
932.48,823.81,14.720334963026957,16.397436283741918,10.546478255036876,
895.48,806.22,12.988216186041946,14.782399139445815,9.611037704689313,
916.25,817.86,14.004816094023488,16.3897455809611,10.479495187298298,
882.85,797.27,12.406006476925615,14.391632299224753,9.688325153356569,
949.69,831.63,15.232641995029862,17.780278265400046,11.042095957398253,
908.29,811.57,13.717483502349864,15.118891633898729,10.695952593424982,
867.62,795.01,11.286235904540666,12.033727876458315,10.296665337537256,
912.05,807.7,13.387550998571978,14.672578887702782,10.002537632432928,
900.68,815.14,13.256137148266669,15.346241824404956,9.778462129925636,
884.07,797.97,11.93643206196259,12.931426962752026,10.046490809902478,
917.7,816.47,13.816414257345752,15.261383623610739,10.288747132342394,
872.03,794.06,11.421331147185171,12.527005798031418,9.731523294112044,
924.36,824.6,14.149025450671695,16.14928814485197,10.439269580057902,
870.46,787.86,11.875060121945586,13.37711894638074,10.307289232114954,
936.78,823.65,14.921609435827065,17.106156315371592,10.536901404600306,
884.96,805.03,12.57477429627329,14.408574279970832,10.307125954708567,
860.35,790.39,10.796516838541232,11.883906023760705,9.949606095078067,
929.91,830.09,14.417775701584967,15.903353162518602,10.6416036376971,
904.65,813.69,13.122172585757133,15.129924815266067,10.277443829059905,
919.53,821.16,14.352085094573013,16.59458516429247,10.36766262375615,
924.05,824.53,13.995171478503963,15.22389453772365,10.39265656640292,
892.25,796.29,12.922591988538047,14.50661195847526,9.099571596614016,
950.19,825.19,15.908781545558165,18.690702997673736,9.757864255792676,
920.18,818.72,14.366099913307085,17.79447633309007,9.815410843795087,
870.07,789.38,11.620893975729832,12.970851367902972,10.07810220859976,
935.52,822.64,14.392850728141555,16.19019241664186,9.206120715563234,
927.92,828.44,14.922790460953054,17.957226838687294,10.50562550381033,
916.12,810.16,13.498672579247206,14.280377861410422,10.860389226315112,
876.29,797.18,11.948793662946679,12.933897880021023,10.37758360745281,
917.17,812.51,14.115309179241082,16.173158065018566,10.064399857078046,
897.89,804.05,13.080977311574022,15.31224518330057,10.36282501733568,
918.19,819.54,13.881464856938019,15.065027715169004,9.576883257213648,
896.83,806.16,12.27608933502992,13.066085043129917,9.637395758596204,
926.12,824.52,13.992063986033491,15.719029725239642,10.222926399121528,
920.41,817.53,13.691452904704624,15.738462005750655,10.346995057750895,
892.3,806.73,12.811352837129983,14.228881223476755,10.538313508807796,
894.99,809.79,12.551704913753358,14.235974787623277,10.284988559410083,
883.63,797.03,11.676773462179842,11.80066397171172,10.357755448897485,
928.02,824.73,14.510644468197151,16.609977980677712,10.01685515538369,
937.21,822.92,15.099972020523007,17.480454794593793,9.81308387384531,
897.26,810.32,13.073151101574314,14.44017902781565,9.995467084858342,
938.53,833.99,15.339860909196732,18.325366999758394,10.550841992303104,
897.6,808.26,12.297623258624688,13.188107794529223,9.771581036255775,
917.89,820.16,13.875106914761437,15.293050056138192,10.641326338238319,
885.55,793.97,12.164883363010185,12.94511698602959,9.86969300461632,
923.55,817.43,14.272804676833314,16.1784930689426,10.316147949209187,
899.34,813.51,13.122133011883518,14.034497452496014,10.686635818630242,
926.47,808.48,14.869122548700302,17.319484852012828,10.265292466548125,
872.5,789.22,11.805292469270698,12.69273389697743,10.34410009520824,
896.21,802.98,12.740844383095114,13.945984074984219,9.947844153464395,
961.25,839.78,16.086049777137163,18.458766874656785,10.530583188815779,
945.61,823.46,15.342345280731262,18.59797603076303,9.557482985006583,
938.86,825.01,14.752170500703464,16.41230700575245,10.644785358432056,
936.74,827.29,15.131886089849413,18.058844136741964,9.712932396220618,
922.03,815.2,14.005074518974475,16.393923870341194,9.137032898877777,
872.33,798.54,11.118930524212988,11.6078056854395,10.3520928969285,
924.26,822.16,13.997720004533846,16.14629328432372,9.923483433893512,
943.8,829.14,15.496349936591942,18.023295427660763,10.803774647955507,
887.28,800.83,12.458575366124348,14.19915397088595,10.396421401702685,
916.32,817.33,13.617125047458291,15.819947255910812,10.057318814746786,
934.97,818.64,14.555469697312407,16.61159690751345,9.73993918958518,
872.36,790.85,11.556389622190682,12.403478902873571,9.557782166179587,
874.92,793.77,12.35795769490122,13.41152804521073,10.599447761574993,
883.96,799.05,12.579803252022849,14.14799968956222,10.721614774261313,
910.69,811.45,13.612113204315179,15.590544080913809,11.091670638849607,
939.84,820.41,14.959733063800018,17.54281898390441,9.531839126979872,
937.8,826.66,15.466348869776208,17.46700687642416,10.559491391395232,
935.16,823.85,15.295958161986178,17.797995279216554,10.001631982113539,
907.24,813.48,13.67316942720168,15.969826455367905,10.341200566157234,
900.89,806.46,13.216018823536373,14.305184117807068,10.119350565955378,
882.36,799.54,11.858929230581413,12.931048578580462,9.623826137637822,
915.38,820.46,14.52297681372509,17.750817330811486,10.565847021307265,
892.07,805.83,12.579804432161861,13.683292054683884,10.623407201556187,
894.52,794.05,12.475470266589046,13.438072027906447,11.267119322696544,
914.03,802.7,13.937998880366164,15.781583881279346,10.954666276800165,
909.0,813.35,13.374424308861283,15.32967532498055,9.786098173879735,
879.45,796.72,12.119356582205675,13.219156290963683,10.262445826302185,
848.08,782.45,10.128926016730224,10.163259776398853,10.016341968949831,
882.78,792.59,11.792681651884825,12.46999419523422,9.803367485474311,
902.97,805.1,13.322062642693727,14.75787618981818,10.658973144246266,
907.53,810.71,13.816366856267118,15.099822149933816,11.188282530421807,
919.21,819.53,13.612070347976207,14.933055292414986,10.868539329881187,
873.04,794.36,11.589654902386236,12.51176079911794,9.829698026336983,
